Freq.	V(out)
1.36000000000000e+07	(-8.00872045246891e+01dB,8.05523984045257e+01°)
1.38000000000000e+07	(-8.36775953398674e+01dB,-1.03363923914725e+02°)
1.40000000000000e+07	(-8.29160318061707e+01dB,1.07090559157920e+02°)
1.42000000000000e+07	(-8.11346422305304e+01dB,-4.33393814815894e+01°)
1.44000000000000e+07	(-8.38028343690473e+01dB,1.71697627874099e+02°)
1.46000000000000e+07	(-8.56120461163008e+01dB,2.06826896140305e+01°)
1.48000000000000e+07	(-9.06074196356686e+01dB,1.66380781368049e+02°)
1.50000000000000e+07	(-8.64286757536067e+01dB,-7.73132810318855e+01°)
1.52000000000000e+07	(-8.21771683212856e+01dB,1.14015339898999e+02°)
1.54000000000000e+07	(-7.99932997269017e+01dB,-5.43029384196596e+01°)
1.56000000000000e+07	(-8.00614649016035e+01dB,1.25580076666115e+02°)
1.58000000000000e+07	(-8.09516669174459e+01dB,-3.68037605953014e+01°)
1.60000000000000e+07	(-8.10269730625390e+01dB,-1.72771550370318e+02°)
1.62000000000000e+07	(-8.09296759589304e+01dB,5.12718246643959e+01°)
1.64000000000000e+07	(-8.08558021460129e+01dB,-8.96094817191626e+01°)
1.66000000000000e+07	(-8.03291583534974e+01dB,1.08574845760061e+02°)
1.68000000000000e+07	(-8.14407852881098e+01dB,-7.30099900347315e+01°)
1.70000000000000e+07	(-8.29478770455236e+01dB,1.03997889074000e+02°)
1.72000000000000e+07	(-8.25668474760767e+01dB,-6.77741316338246e+01°)
1.74000000000000e+07	(-8.52684202955696e+01dB,1.29862183126452e+02°)
1.76000000000000e+07	(-9.02055854555336e+01dB,3.59166052993801e+01°)
1.78000000000000e+07	(-8.68080976813253e+01dB,-1.05635577999297e+02°)
1.80000000000000e+07	(-8.89060460354512e+01dB,9.31336303317454e+01°)
1.82000000000000e+07	(-8.86825229054867e+01dB,-6.70275089593316e+01°)
1.84000000000000e+07	(-9.10735733959463e+01dB,8.96037513210576e+01°)
1.86000000000000e+07	(-8.79374547264982e+01dB,-1.35843449750714e+02°)
1.88000000000000e+07	(-8.60784562738148e+01dB,5.45063563602413e+01°)
1.90000000000000e+07	(-8.98936316676839e+01dB,-9.91558342025214e+01°)
1.92000000000000e+07	(-9.68081374948994e+01dB,1.21133620123034e+02°)
1.94000000000000e+07	(-9.42246995796666e+01dB,-8.24686419892351e+01°)
1.96000000000000e+07	(-8.79186135239351e+01dB,6.78956061953462e+01°)
1.98000000000000e+07	(-8.42181800528641e+01dB,-1.20399435853785e+02°)
2.00000000000000e+07	(-8.11013503814713e+01dB,7.20576306204175e+01°)
2.02000000000000e+07	(-7.68064690886905e+01dB,-9.75312690167510e+01°)
2.04000000000000e+07	(-7.41969386208201e+01dB,9.17365328343612e+01°)
2.06000000000000e+07	(-7.45460356035246e+01dB,-6.67107842143116e+01°)
2.08000000000000e+07	(-7.70498383813575e+01dB,1.43070612211975e+02°)
2.10000000000000e+07	(-8.48995523094209e+01dB,-9.83524808068115e+00°)
2.12000000000000e+07	(-9.57986492024628e+01dB,-1.39807935723146e+01°)
2.14000000000000e+07	(-8.62436995258096e+01dB,-1.11508061305797e+02°)
2.16000000000000e+07	(-8.05269993671008e+01dB,1.03436937320789e+02°)
2.18000000000000e+07	(-8.12627087128599e+01dB,-5.16621804668255e+01°)
2.20000000000000e+07	(-8.10969579560706e+01dB,1.64683909722698e+02°)
2.22000000000000e+07	(-7.91551891679439e+01dB,-9.36276112481654e+00°)
2.24000000000000e+07	(-8.21796347078796e+01dB,1.66143396271411e+02°)
2.26000000000000e+07	(-9.60213016825431e+01dB,-3.11492148933558e+01°)
2.28000000000000e+07	(-9.35972886678874e+01dB,9.43258377879207e+01°)
2.30000000000000e+07	(-8.37176824380588e+01dB,-6.86220003109012e+01°)
2.32000000000000e+07	(-8.04411232124756e+01dB,1.20128716082072e+02°)
2.34000000000000e+07	(-8.05714886969787e+01dB,-2.62604399619356e+01°)
2.36000000000000e+07	(-8.00432559015504e+01dB,-1.70083875224522e+02°)
2.38000000000000e+07	(-8.01469280220645e+01dB,2.49518655132674e+01°)
2.40000000000000e+07	(-7.86536124051349e+01dB,-1.51638940970406e+02°)
2.42000000000000e+07	(-7.72852857136485e+01dB,2.44648504501846e+01°)
2.44000000000000e+07	(-7.75258344706880e+01dB,-1.56348704038635e+02°)
2.46000000000000e+07	(-7.76987864688155e+01dB,4.93522978799384e+01°)
2.48000000000000e+07	(-8.10275267011354e+01dB,-1.13560769393079e+02°)
2.50000000000000e+07	(-8.28731122758793e+01dB,-6.95237748193230e+01°)
2.52000000000000e+07	(-7.28682885807284e+01dB,1.06927617152579e+02°)
2.54000000000000e+07	(-6.82977052695323e+01dB,-4.91293640160538e+01°)
2.56000000000000e+07	(-6.32279914191454e+01dB,1.67415455829381e+02°)
2.58000000000000e+07	(-6.06992795222326e+01dB,2.40757104576432e+01°)
2.60000000000000e+07	(-5.92939475770953e+01dB,-7.24426340162734e+01°)
2.62000000000000e+07	(-4.14851583555448e+01dB,-1.79174202064225e+02°)
2.64000000000000e+07	(-2.91567689138046e+01dB,4.02017537881844e+01°)
2.66000000000000e+07	(-1.58993464124468e+01dB,-9.49584262358786e+01°)
2.68000000000000e+07	(-6.32897724347868e+00dB,9.80358411854638e+01°)
2.70000000000000e+07	(-3.29918346624441e+00dB,-7.90309495893359e+01°)
2.72000000000000e+07	(-6.72712018883563e+00dB,1.01539941459475e+02°)
2.74000000000000e+07	(-1.74569740015458e+01dB,-7.84025988288731e+01°)
2.76000000000000e+07	(-3.87859344669597e+01dB,1.04033515820157e+02°)
2.78000000000000e+07	(-6.42907887123388e+01dB,4.20939289844945e+01°)
2.80000000000000e+07	(-6.45297518053020e+01dB,-7.40403855068771e+01°)
2.82000000000000e+07	(-6.38347025544919e+01dB,1.55088467359050e+02°)
2.84000000000000e+07	(-6.58297603570209e+01dB,-3.21309097384725e+00°)
2.86000000000000e+07	(-7.16888381009383e+01dB,-1.68764533731104e+02°)
2.88000000000000e+07	(-8.02414010880115e+01dB,5.54887217504416e+01°)
2.90000000000000e+07	(-9.69731441386014e+01dB,1.02637309329704e+02°)
2.92000000000000e+07	(-7.56469882844035e+01dB,-7.00654308794420e+01°)
2.94000000000000e+07	(-7.42737544773567e+01dB,1.24045238083621e+02°)
2.96000000000000e+07	(-7.44067798914879e+01dB,-1.68374135792360e+01°)
2.98000000000000e+07	(-7.21868783158049e+01dB,-1.61961366159383e+02°)
3.00000000000000e+07	(-7.15122525767131e+01dB,4.79621980663345e+01°)
3.02000000000000e+07	(-7.07417009860385e+01dB,-1.09669867414876e+02°)
3.04000000000000e+07	(-7.15799540598923e+01dB,8.23586830801741e+01°)
3.06000000000000e+07	(-7.51607119641020e+01dB,-7.23593357646731e+01°)
3.08000000000000e+07	(-7.95196726766898e+01dB,1.42713066119161e+02°)
3.10000000000000e+07	(-1.03867461681892e+02dB,6.16211260425567e+01°)
3.12000000000000e+07	(-7.99843610915658e+01dB,-2.82282690875612e+01°)
3.14000000000000e+07	(-8.00714029964565e+01dB,1.65052253592688e+02°)
3.16000000000000e+07	(-8.62420180127707e+01dB,5.14033353741065e+01°)
3.18000000000000e+07	(-8.36480552238341e+01dB,-5.88330904119024e+01°)
